sample,fastq_dir,cytaimage,slide,area
CA011-A,/fh/fast/_IRC/FHIL/grp/NextSeq_SteamPlant/241205_VH00738_301_AAG3LVLM5/FHIL_120524_2025-01-21T21_15_49_91b6061-443041634/BCL_Convert_01_21_2025_13_17_37-799455727/CA011-A_L1-ds.c7678aa12d3d499788ae16de1be49873/,/fh/fast/_IRC/FHIL/grp/Histopath_Images/CytAssist_Pilot/Greenberg/CAVG10596_2024-11-26_12-45-03_2024-11-26_12-15-46_V43J12-309_CA011-A1_CTP22-127.tif,V43J12-309,A1
CA011-2-A,/fh/fast/_IRC/FHIL/grp/NextSeq_SteamPlant/241205_VH00738_301_AAG3LVLM5/FHIL_120524_2025-01-21T21_15_49_91b6061-443041634/BCL_Convert_01_21_2025_13_17_37-799455727/CA011-2-A_L1-ds.9739ae5de0b94fb7af630fd16b225c40/,/fh/fast/_IRC/FHIL/grp/Histopath_Images/CytAssist_Pilot/Greenberg/CAVG10596_2024-12-03_12-59-30_2024-12-03_12-19-56_V43J11-402_A1_CA-011-2-044.tif,V43J11-402,A1
